CustomerKey,CurrentAge,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,NumberCarsOwned,TotalPaid,DateDiffMonthPlusOne,AvgSpendFromFirstAndLast,BikeBuyer
11000,49,M,90000,2,0,Bachelors,Professional,0,9115.1343,29,314.3149,1
11001,44,M,60000,3,3,Bachelors,Professional,1,7054.1879,36,195.9496,1
11002,49,M,60000,3,3,Bachelors,Professional,1,8966.0144,26,344.8467,1
11003,47,F,70000,0,0,Bachelors,Professional,1,8993.9159,30,299.7971,1
11004,41,F,80000,5,5,Bachelors,Professional,4,9056.5913,29,312.2962,1
11005,44,M,70000,0,0,Bachelors,Professional,1,8974.0699,30,299.1356,1
11006,44,F,70000,0,0,Bachelors,Professional,1,8971.5284,29,309.363,1
11007,51,M,60000,3,3,Bachelors,Professional,2,9073.1553,27,336.0427,1
11008,45,F,60000,4,4,Bachelors,Professional,3,8957.4729,27,331.7582,1
11009,51,M,70000,0,0,Bachelors,Professional,1,8940.9199,29,308.3075,1
11010,51,F,70000,0,0,Bachelors,Professional,1,8937.2844,29,308.1822,1
11011,51,M,60000,4,4,Bachelors,Professional,4,8987.0094,28,320.9646,1
11012,41,F,100000,2,0,Bachelors,Management,2,89.7925,8,11.224,0
11013,41,M,100000,2,0,Bachelors,Management,3,125.926,10,12.5926,0
11014,47,F,100000,3,0,Bachelors,Management,3,152.9875,2,76.4937,0
11015,36,F,30000,0,0,Partial College,Skilled Manual,1,2763.5719,1,2763.5719,1
11016,36,M,30000,0,0,Partial College,Skilled Manual,1,2577.1695,1,2577.1695,1
11017,71,F,20000,4,0,High School,Skilled Manual,2,7109.9127,34,209.115,1
11018,65,M,30000,2,0,Partial College,Clerical,2,7219.2747,34,212.3316,1
11019,37,M,40000,0,0,High School,Skilled Manual,2,975.385,12,81.282,0
11020,36,M,40000,0,0,High School,Skilled Manual,2,2560.2519,1,2560.2519,1
11021,36,F,40000,0,0,Partial College,Skilled Manual,1,2621.0159,1,2621.0159,1
11022,36,M,40000,0,0,Partial College,Skilled Manual,1,2566.1195,1,2566.1195,1
11023,36,M,40000,0,0,Partial College,Skilled Manual,1,135.0754,12,11.2562,0
11024,36,M,60000,0,0,Partial College,Skilled Manual,2,62.4438,2,31.2219,0
11025,69,M,10000,2,1,Partial High School,Clerical,2,7267.3642,34,213.746,1
11026,69,M,30000,2,0,Partial College,Clerical,2,7266.2483,34,213.7131,1
11027,68,M,30000,2,0,Partial College,Clerical,2,7283.6853,34,214.226,1
11028,69,F,30000,2,0,Partial College,Clerical,2,7154.4553,34,210.4251,1
11029,68,M,30000,2,0,Partial College,Clerical,2,7254.6458,35,207.2755,1
11030,62,F,10000,2,1,Partial High School,Clerical,2,7150.8088,34,210.3179,1
11031,67,F,20000,4,0,High School,Skilled Manual,2,7158.8533,34,210.5545,1
11032,68,F,20000,4,0,High School,Skilled Manual,2,7210.7442,34,212.0807,1
11033,62,M,20000,4,0,High School,Skilled Manual,2,7177.2958,34,211.0969,1
11034,68,F,20000,4,0,High School,Skilled Manual,2,7172.9088,34,210.9679,1
11035,67,F,10000,2,1,Partial High School,Clerical,2,7128.6978,34,209.6675,1
11036,36,F,60000,0,0,Partial College,Skilled Manual,2,2602.253,1,2602.253,1
11037,37,F,40000,0,0,Partial High School,Clerical,2,2623.5244,1,2623.5244,1
11038,67,F,10000,2,1,Partial High School,Clerical,2,7113.2498,34,209.2132,1
11039,66,M,30000,3,0,Partial College,Clerical,2,7333.4213,34,215.6888,1
11040,37,M,30000,0,0,Partial College,Skilled Manual,2,2597.8109,1,2597.8109,1
11041,37,F,60000,0,0,Partial College,Skilled Manual,2,2630.4194,1,2630.4194,1
11042,38,F,70000,0,0,Partial College,Skilled Manual,2,3439.1248,10,343.9124,1
11043,39,M,60000,0,0,Partial College,Skilled Manual,2,53.018,4,13.2545,0
11044,66,M,20000,2,1,Partial High School,Clerical,2,7199.4068,34,211.7472,1
11045,65,M,30000,3,0,High School,Skilled Manual,2,127.031,7,18.1472,0
11046,65,F,30000,3,0,High School,Skilled Manual,2,7311.5753,34,215.0463,1
11047,65,F,30000,3,0,High School,Skilled Manual,2,7273.4748,34,213.9257,1
11048,64,M,30000,3,0,High School,Skilled Manual,2,7180.5556,35,205.1587,1
11049,34,F,40000,0,0,Partial High School,Clerical,2,89.7925,8,11.224,0
11050,63,M,30000,3,0,High School,Skilled Manual,2,5533.0667,34,162.7372,1
11051,63,M,30000,3,0,High School,Skilled Manual,2,136.965,2,68.4825,0
11052,63,F,40000,2,0,Partial College,Clerical,2,8985.1089,28,320.8967,1
11053,34,F,60000,0,0,Partial College,Skilled Manual,2,2574.628,1,2574.628,1
11054,63,F,40000,2,0,Partial College,Skilled Manual,2,9086.4374,28,324.5156,1
11055,63,M,40000,2,0,Partial College,Skilled Manual,2,9025.6514,30,300.855,1
11056,62,F,40000,3,0,Partial College,Skilled Manual,2,9069.2879,28,323.9031,1
11057,50,M,70000,2,0,Graduate Degree,Management,2,8937.2844,28,319.1887,1
11058,55,M,80000,2,0,Partial College,Skilled Manual,2,9114.0624,28,325.5022,1
11059,61,F,80000,2,0,Partial College,Skilled Manual,2,129.208,2,64.604,0
11060,61,M,80000,2,0,Partial College,Skilled Manual,2,9009.0874,28,321.7531,1
11061,44,M,80000,2,0,Partial College,Skilled Manual,2,8982.5674,28,320.8059,1
11062,39,M,40000,0,0,High School,Skilled Manual,2,2598.9159,1,2598.9159,1
11063,40,F,40000,0,0,High School,Skilled Manual,2,2622.11,1,2622.11,1
11064,39,M,40000,0,0,High School,Skilled Manual,2,2547.003,1,2547.003,1
11065,41,F,60000,0,0,Partial College,Skilled Manual,2,223.84,12,18.6533,0
11066,41,F,70000,0,0,Partial College,Professional,2,89.7925,5,17.9585,0
11067,38,M,60000,0,0,Partial College,Professional,2,116.854,6,19.4756,0
11068,54,F,80000,2,0,High School,Skilled Manual,2,125.2632,7,17.8947,0
11069,54,F,80000,2,0,High School,Skilled Manual,2,8954.9754,27,331.6657,1
11070,60,M,80000,2,0,High School,Skilled Manual,2,9022.9332,27,334.1827,1
11071,60,F,80000,2,0,High School,Skilled Manual,2,121.8045,10,12.1804,0
11072,60,F,80000,2,0,High School,Skilled Manual,2,9054.3703,28,323.3703,1
11073,58,F,70000,2,0,High School,Skilled Manual,2,212.05,6,35.3416,0
11074,58,M,70000,2,0,High School,Skilled Manual,2,104.0803,3,34.6934,0
11075,57,F,80000,2,0,High School,Professional,2,8915.1734,27,330.1916,1
11076,57,M,80000,2,0,High School,Professional,2,9015.7394,27,333.9162,1
11077,57,F,80000,2,0,High School,Professional,2,9026.7784,27,334.3251,1
11078,35,F,40000,0,0,High School,Professional,2,1009.1647,12,84.097,0
11079,50,M,160000,0,0,Graduate Degree,Management,2,64.035,11,5.8213,0
11080,55,M,170000,0,0,Graduate Degree,Management,2,9065.4424,27,335.7571,1
11081,48,F,120000,2,2,Bachelors,Management,3,115.2075,3,38.4025,0
11082,48,F,130000,0,1,Graduate Degree,Management,3,3437.4453,11,312.495,1
11083,43,F,130000,0,1,Graduate Degree,Management,3,3466.7388,11,315.158,1
11084,57,M,80000,2,0,Partial High School,Skilled Manual,2,3401.8643,11,309.2603,1
11085,57,F,60000,2,0,High School,Professional,2,142.501,2,71.2505,0
11086,57,M,70000,2,1,Partial College,Professional,0,169.5625,6,28.2604,0
11087,57,F,70000,3,2,Partial College,Professional,0,221.3095,7,31.6156,0
11088,57,M,80000,2,1,Bachelors,Management,0,3510.3422,11,319.122,1
11089,58,F,80000,2,1,Bachelors,Management,1,3523.0497,12,293.5874,1
11090,52,M,90000,2,0,Partial College,Professional,1,7408.0087,28,264.5717,1
11091,58,M,90000,2,0,Partial College,Professional,1,1314.2123,13,101.0932,0
11092,48,F,90000,2,2,Bachelors,Professional,0,8961.5723,27,331.91,1
11093,42,F,100000,0,0,Graduate Degree,Management,0,9038.9003,27,334.774,1
11094,53,M,70000,1,0,Partial College,Skilled Manual,1,260.6588,10,26.0658,0
11095,52,M,70000,1,0,Partial College,Skilled Manual,1,9014.6014,27,333.8741,1
11096,52,M,60000,1,0,Bachelors,Professional,1,8909.6594,28,318.2021,1
11097,48,M,60000,1,0,Partial College,Skilled Manual,1,8949.4284,28,319.6224,1
11098,54,F,60000,1,0,Partial College,Skilled Manual,1,98.301,9,10.9223,0
11099,54,M,60000,1,0,Bachelors,Professional,1,9078.6694,28,324.2381,1
11100,54,F,60000,1,0,Partial College,Skilled Manual,1,9030.6239,29,311.4008,1
11101,50,F,70000,0,0,Bachelors,Professional,1,9130.0849,27,338.1512,1
11102,50,F,80000,5,5,Bachelors,Professional,4,113.7158,6,18.9526,0
11103,39,F,70000,0,0,Bachelors,Professional,1,9041.6629,27,334.8764,1
